Customer Id,Customer Segment,Customer Country,Customer City,Customer State,Customer Street,Customer Zipcode
20755,Consumer,Puerto Rico,Caguas,PR,5365 Noble Nectar Island,725.0
19492,Consumer,Puerto Rico,Caguas,PR,2679 Rustic Loop,725.0
19491,Consumer,EE. UU.,San Jose,CA,8510 Round Bear Gate,95125.0
19490,Home Office,EE. UU.,Los Angeles,CA,3200 Amber Bend,90027.0
19489,Corporate,Puerto Rico,Caguas,PR,8671 Iron Anchor Corners,725.0
19488,Consumer,EE. UU.,Tonawanda,NY,2122 Hazy Corner,14150.0
19487,Home Office,Puerto Rico,Caguas,PR,1879 Green Pine Bank,725.0
19486,Corporate,EE. UU.,Miami,FL,7595 Cotton Log Row,33162.0
19485,Corporate,Puerto Rico,Caguas,PR,2051 Dusty Route,725.0
19484,Corporate,EE. UU.,San Ramon,CA,9139 Blue Blossom Court,94583.0
19483,Corporate,Puerto Rico,Caguas,PR,4058 Quiet Heights,725.0
19482,Consumer,EE. UU.,Freeport,NY,3243 Shady Corner,11520.0
19481,Corporate,EE. UU.,Salinas,CA,131 Sunny Treasure Green,93905.0
19480,Corporate,Puerto Rico,Caguas,PR,2531 Wishing Square,725.0
19479,Corporate,EE. UU.,Peabody,MA,6417 Silver Towers,1960.0
19478,Corporate,Puerto Rico,Caguas,PR,257 Harvest Close,725.0
19477,Corporate,Puerto Rico,Canovanas,PR,7342 Hazy Beacon Park,729.0
19476,Corporate,EE. UU.,Paramount,CA,7787 Lazy Corners,90723.0
19475,Consumer,Puerto Rico,Caguas,PR,5136 Rustic Pioneer Estates,725.0
19474,Consumer,EE. UU.,Mount Prospect,IL,1723 Tawny Via,60056.0
19473,Corporate,EE. UU.,Long Beach,CA,7111 Silent Fox Gardens,90813.0
19472,Corporate,Puerto Rico,Caguas,PR,3732 Old Mountain Bank,725.0
19471,Corporate,EE. UU.,Rancho Cordova,CA,6217 Rustic Lake Forest,95670.0
19470,Corporate,Puerto Rico,Caguas,PR,1082 Quiet Treasure Link,725.0
19469,Corporate,EE. UU.,Billings,MT,3176 Round Gate,59102.0
19468,Corporate,Puerto Rico,Caguas,PR,1426 Fallen Line,725.0
19467,Consumer,EE. UU.,Wilkes Barre,PA,9814 Emerald Prairie Limits,18702.0
19466,Corporate,Puerto Rico,Caguas,PR,8271 Tawny Elk Abbey,725.0
19465,Corporate,EE. UU.,Roseville,MI,3931 Gentle Ramp,48066.0
19464,Consumer,EE. UU.,Bellflower,CA,9699 Honey Rise,90706.0
19463,Consumer,Puerto Rico,Caguas,PR,1564 Rocky Terrace,725.0
19462,Consumer,EE. UU.,Wheaton,IL,4294 High Passage,60187.0
19461,Consumer,Puerto Rico,Caguas,PR,5918 Golden Beacon Freeway,725.0
